target,variant,sample_scope,cov_type,N,R2,AdjR2,AIC,BIC,DW,JB_p,JB_stat,max_vif,quality_flags,target_note,predictors,coef,pvals,vif,family,lag_minutes,variant_설명,matched_base_variant,matched_base_N,matched_base_AIC,matched_base_BIC,matched_base_DW,matched_base_max_vif,delta_AIC_vs_matched_base,delta_BIC_vs_matched_base,dw_distance_to_2,dw_improvement_vs_matched_base,n_lost_vs_full_diff,판정,판정 이유
mix_ec_ds_m,mix_ec_ds_m__s5_current_plus_targetlag_lag1,펌프 작동 구간 1차 차분 + 1분 시차 조합,HAC(maxlags=20),65608,0.4466556885320796,0.44659664264518517,-702809.5515683324,-702736.8199449826,2.2847094556685583,0.0,28097866.418986246,5.867930101305249,특이 경고 없음,물리적 연결과 운전 정책 영향을 함께 확인해야 합니다.,"['mix_target_ec_ds_m', 'tank_a_level_pct', 'tank_b_level_pct', 'mix_temp_c', 'mix_flow_l_min', 'raw_water_temp_c', 'mix_ec_ds_m_lag_1']","{'mix_target_ec_ds_m': 0.04133626862588529, 'tank_a_level_pct': -4.3060266427922385e-05, 'tank_b_level_pct': -0.00012319651784528814, 'mix_temp_c': -0.00031809064045607027, 'mix_flow_l_min': 4.093387649721627e-05, 'raw_water_temp_c': 0.0022080496083592754, 'mix_ec_ds_m_lag_1': 0.6662306170153811}","{'mix_target_ec_ds_m': 0.03130111456579753, 'tank_a_level_pct': 0.9381153141559567, 'tank_b_level_pct': 0.7909152206415558, 'mix_temp_c': 0.8680868850668153, 'mix_flow_l_min': 0.39097834272682075, 'raw_water_temp_c': 0.3050510484187511, 'mix_ec_ds_m_lag_1': 0.0}","{'mix_target_ec_ds_m': 1.0203299457078745, 'tank_a_level_pct': 1.0022770072518117, 'tank_b_level_pct': 1.0024695453575128, 'mix_temp_c': 5.865063117081409, 'mix_flow_l_min': 1.0158499692375509, 'raw_water_temp_c': 5.867930101305249, 'mix_ec_ds_m_lag_1': 1.0025361892041469}",s5_current_plus_targetlag,1,mix_ec_ds_m: 현재 설명변수 + 1분 시차 타깃,mix_ec_ds_m__s5_base_matched_lag1,65608,-664243.2040478153,-664179.5638773843,0.6664880655474493,5.864775097083986,-38566.34752051707,-38557.256067598355,0.2847094556685583,1.0488024787839922,1,강한 후보,"DW가 2에 충분히 가까워졌고, 같은 행 기준 AIC도 개선됐으며 VIF도 허용 범위입니다."
mix_ph,mix_ph__s5_current_plus_targetlag_lag1,펌프 작동 구간 1차 차분 + 1분 시차 조합,HAC(maxlags=20),65608,0.29352491818519355,0.29347107264071215,-744158.2929787064,-744103.7442611941,2.294185559631746,0.0,8367269.6490374245,3.870266100242132,특이 경고 없음,물리적 연결과 운전 정책 영향을 함께 확인해야 합니다.,"['dosing_acid_ml_min', 'mix_temp_c', 'acid_tank_level_pct', 'mix_flow_l_min', 'mix_ph_lag_1']","{'dosing_acid_ml_min': 3.371423919004918e-05, 'mix_temp_c': -0.0002433984726381469, 'acid_tank_level_pct': -3.587429556765437e-05, 'mix_flow_l_min': -1.6590919969770636e-05, 'mix_ph_lag_1': 0.5416703526567346}","{'dosing_acid_ml_min': 0.6175900391922463, 'mix_temp_c': 0.5515312728054674, 'acid_tank_level_pct': 0.9196748726228121, 'mix_flow_l_min': 0.7248542449326428, 'mix_ph_lag_1': 0.0}","{'dosing_acid_ml_min': 3.8659671098862622, 'mix_temp_c': 1.0029136760557282, 'acid_tank_level_pct': 1.0022525930072583, 'mix_flow_l_min': 3.870266100242132, 'mix_ph_lag_1': 1.0004682848498925}",s5_current_plus_targetlag,1,mix_ph: 현재 설명변수 + 1분 시차 타깃,mix_ph__s5_base_matched_lag1,65608,-721380.1231858263,-721334.6659212328,0.9171805546342757,3.8701984361213464,-22778.16979288007,-22769.078339961357,0.294185559631746,0.7886338857339783,1,강한 후보,"DW가 2에 충분히 가까워졌고, 같은 행 기준 AIC도 개선됐으며 VIF도 허용 범위입니다."
motor_current_a,motor_current_a__s5_current_plus_predlag_targetlag_lag1,펌프 작동 구간 1차 차분 + 1분 시차 조합,HAC(maxlags=20),65608,0.9975439070027073,0.9975436449196131,-485082.0601944865,-485009.3285711368,2.015079997325394,0.0,17241789.755740132,473.0070459913679,다중공선성 매우 큼,물리적 연결과 운전 정책 영향을 함께 확인해야 합니다.,"['motor_temperature_c', 'pump_rpm', 'discharge_pressure_kpa', 'motor_temperature_c_lag_1', 'pump_rpm_lag_1', 'discharge_pressure_kpa_lag_1', 'motor_current_a_lag_1']","{'motor_temperature_c': -0.018437656856278052, 'pump_rpm': -0.0006345888270853615, 'discharge_pressure_kpa': 0.0425252947181694, 'motor_temperature_c_lag_1': 0.024793262559796858, 'pump_rpm_lag_1': 0.0003556701536588288, 'discharge_pressure_kpa_lag_1': -0.03448490754607863, 'motor_current_a_lag_1': 0.8418138659615755}","{'motor_temperature_c': 0.0007369814122814058, 'pump_rpm': 1.6640979169689435e-07, 'discharge_pressure_kpa': 0.0, 'motor_temperature_c_lag_1': 3.1703230772422062e-06, 'pump_rpm_lag_1': 0.0019107575087276639, 'discharge_pressure_kpa_lag_1': 2.495071826644393e-284, 'motor_current_a_lag_1': 0.0}","{'motor_temperature_c': 1.3490577414239964, 'pump_rpm': 293.85321495102335, 'discharge_pressure_kpa': 290.2104801998871, 'motor_temperature_c_lag_1': 1.3417244479727117, 'pump_rpm_lag_1': 302.9911207340526, 'discharge_pressure_kpa_lag_1': 473.0070459913679, 'motor_current_a_lag_1': 111.79143828725185}",s5_current_plus_predlag_targetlag,1,motor_current_a: 현재 설명변수 + 1분 시차 설명변수 + 1분 시차 타깃,motor_current_a__s5_base_matched_lag1,65608,-399958.60150069755,-399922.2356890227,0.3110129331480013,62.82991841574796,-85123.45869378897,-85087.09288211411,0.01507999732539389,1.6739070695266047,1,동학 후보(계수 해석 주의),DW와 AIC는 좋아졌지만 VIF가 커서 계수 해석은 여전히 불안정합니다.
wire_to_water_efficiency,wire_to_water_efficiency__s5_current_plus_predlag_targetlag_lag1,펌프 작동 구간 1차 차분 + 1분 시차 조합,HAC(maxlags=20),65608,0.9778687966354292,0.977865760249712,-1080710.084461308,-1080619.169932121,1.9759552727861522,0.0,24503048.732520793,180.28532962086766,다중공선성 매우 큼,운전점과 정의식 영향이 함께 남는 비율형 지표입니다.,"['pump_rpm', 'motor_temperature_c', 'suction_pressure_kpa', 'bearing_temperature_c', 'pump_rpm_lag_1', 'motor_temperature_c_lag_1', 'suction_pressure_kpa_lag_1', 'bearing_temperature_c_lag_1', 'wire_to_water_efficiency_lag_1']","{'pump_rpm': 3.2079210590470174e-05, 'motor_temperature_c': 0.00025490462475068074, 'suction_pressure_kpa': 0.0025050771883749264, 'bearing_temperature_c': 0.00018883373241972772, 'pump_rpm_lag_1': -2.6427614417292986e-05, 'motor_temperature_c_lag_1': -0.00024194794398661097, 'suction_pressure_kpa_lag_1': -0.0019969820282089404, 'bearing_temperature_c_lag_1': -0.00020190498072233254, 'wire_to_water_efficiency_lag_1': 0.8756078641949795}","{'pump_rpm': 9.239024789230137e-197, 'motor_temperature_c': 0.0009222713567379072, 'suction_pressure_kpa': 7.66636587979682e-83, 'bearing_temperature_c': 0.04173362820869466, 'pump_rpm_lag_1': 4.252569528550181e-169, 'motor_temperature_c_lag_1': 0.0035507743588597544, 'suction_pressure_kpa_lag_1': 2.660251494409255e-68, 'bearing_temperature_c_lag_1': 0.03718491739827614, 'wire_to_water_efficiency_lag_1': 0.0}","{'pump_rpm': 123.53626472843172, 'motor_temperature_c': 2.519007792301025, 'suction_pressure_kpa': 116.70146589559621, 'bearing_temperature_c': 2.6623123780187696, 'pump_rpm_lag_1': 180.28532962086766, 'motor_temperature_c_lag_1': 2.532254350335524, 'suction_pressure_kpa_lag_1': 139.6568593249865, 'bearing_temperature_c_lag_1': 2.662167862961272, 'wire_to_water_efficiency_lag_1': 9.852900768990944}",s5_current_plus_predlag_targetlag,1,wire_to_water_efficiency: 현재 설명변수 + 1분 시차 설명변수 + 1분 시차 타깃,wire_to_water_efficiency__s5_base_matched_lag1,65608,-980584.8750924879,-980539.4178278943,0.25656473374502553,28.713292937467536,-100125.20936882019,-100079.75210422662,0.02404472721384776,1.7193905390411266,1,동학 후보(계수 해석 주의),DW와 AIC는 좋아졌지만 VIF가 커서 계수 해석은 여전히 불안정합니다.
